Order ID,Order Date,Processing Time (Days),Ship Date,Dispatch Time (Hours),Ship Mode,Expected Delivery Date,Actual Delivery Date,Delivery Distance (KM),Shipping Cost,Region,City,Category,Sales,Carrier,Delay Reason,Warehouse Location,Order Priority,Order Quantity,Customer Type
ORD100035,24-06-2023,1,25-06-2023,23,First Class,27-06-2023,29-06-2023,1145,1261.18,South,Bangalore,Office Supplies,2195.5,FedEx,Weather,WH-C,High,7,Home Office
ORD100036,20-02-2023,3,23-02-2023,10,Same Day,24-02-2023,28-02-2023,1160,636.65,East,Hyderabad,Technology,4472.61,Ecom Express,Customer Not Available,WH-A,Low,4,Corporate
ORD100037,30-12-2023,3,02-01-2024,13,Same Day,03-01-2024,01-01-2024,1317,1079.44,South,Chennai,Technology,426.6,Delhivery,Unknown,WH-A,High,5,Consumer
ORD100038,24-02-2023,2,26-02-2023,13,Standard Class,03-03-2023,02-03-2023,1746,1562.73,Central,Hyderabad,Technology,2082.59,Delhivery,Unknown,WH-B,Medium,6,Consumer
ORD100039,01-09-2023,3,04-09-2023,15,Same Day,05-09-2023,04-09-2023,1264,945.55,Central,Hyderabad,Furniture,3890.95,DHL,Unknown,WH-A,High,5,Corporate
ORD100040,16-11-2023,3,19-11-2023,18,First Class,21-11-2023,20-11-2023,46,24.78,West,Bangalore,Furniture,2497.95,Ecom Express,Unknown,WH-A,Medium,2,Consumer
ORD100041,11-05-2023,2,13-05-2023,10,Standard Class,18-05-2023,21-05-2023,1188,972.76,Central,Delhi,Office Supplies,4832.1,Ecom Express,Traffic,WH-B,Low,4,Consumer
ORD100042,03-11-2023,1,04-11-2023,13,Standard Class,09-11-2023,10-11-2023,1792,2316.38,South,Mumbai,Office Supplies,915.37,FedEx,Carrier Delay,WH-C,Medium,8,Home Office
ORD100043,15-05-2023,2,17-05-2023,11,Second Class,20-05-2023,25-05-2023,1719,1478.53,South,Hyderabad,Office Supplies,1614.32,FedEx,Weather,WH-C,Low,8,Consumer
ORD100044,21-01-2023,1,22-01-2023,12,Same Day,23-01-2023,21-01-2023,1153,949.35,South,Delhi,Furniture,624.96,Delhivery,Unknown,WH-A,Medium,7,Corporate
ORD100045,25-11-2023,1,26-11-2023,3,Standard Class,01-12-2023,05-12-2023,1288,1856.98,South,Hyderabad,Office Supplies,1271.31,Delhivery,Carrier Delay,WH-B,High,2,Home Office
ORD100046,16-06-2023,3,19-06-2023,17,First Class,21-06-2023,20-06-2023,1304,706.29,South,Delhi,Technology,3379.03,BlueDart,Unknown,WH-C,High,4,Corporate
ORD100047,01-10-2023,2,03-10-2023,2,Standard Class,08-10-2023,11-10-2023,217,275,West,Chennai,Technology,2460.38,Delhivery,Weather,WH-D,Medium,9,Corporate
ORD100048,30-03-2023,3,02-04-2023,23,Standard Class,07-04-2023,08-04-2023,1991,1957.34,East,Mumbai,Technology,852.23,FedEx,Traffic,WH-D,Medium,6,Corporate
ORD100049,12-11-2023,3,15-11-2023,2,Second Class,18-11-2023,23-11-2023,1501,2168.14,Central,Bangalore,Furniture,2399.74,DHL,Inventory Issue,WH-B,High,8,Consumer
ORD100050,14-01-2023,1,15-01-2023,23,First Class,17-01-2023,16-01-2023,840,750.52,South,Chennai,Office Supplies,4244.64,BlueDart,Unknown,WH-B,High,9,Consumer
ORD100051,30-08-2023,3,02-09-2023,3,First Class,04-09-2023,04-09-2023,706,852.88,Central,Hyderabad,Office Supplies,2227.14,Delhivery,Unknown,WH-A,Medium,5,Home Office
ORD100052,22-09-2023,2,24-09-2023,13,Same Day,25-09-2023,27-09-2023,1598,910.76,West,Hyderabad,Furniture,115.41,FedEx,Weather,WH-D,Medium,5,Corporate
ORD100053,12-12-2023,3,15-12-2023,21,First Class,17-12-2023,15-12-2023,1459,2084.58,West,Mumbai,Furniture,321.86,BlueDart,Unknown,WH-C,High,9,Consumer
ORD100054,22-02-2023,3,25-02-2023,19,Standard Class,02-03-2023,04-03-2023,1743,1472.04,East,Mumbai,Technology,2218.7,DHL,Unknown,WH-B,Low,6,Corporate
ORD100055,06-12-2023,1,07-12-2023,13,First Class,09-12-2023,11-12-2023,84,86.02,West,Mumbai,Furniture,2986.56,DHL,Traffic,WH-D,Low,7,Consumer
ORD100056,02-04-2023,2,04-04-2023,2,First Class,06-04-2023,06-04-2023,959,612.3,East,Hyderabad,Technology,4438.34,FedEx,Unknown,WH-C,Low,8,Corporate
ORD100057,21-09-2023,3,24-09-2023,12,Standard Class,29-09-2023,29-09-2023,1256,1815.62,South,Hyderabad,Technology,4910.71,Ecom Express,Unknown,WH-D,Low,8,Corporate
ORD100058,04-02-2023,1,05-02-2023,3,Second Class,08-02-2023,08-02-2023,906,1062.71,West,Bangalore,Office Supplies,4902.86,FedEx,Unknown,WH-C,High,3,Corporate
ORD100059,25-07-2023,3,28-07-2023,13,Same Day,29-07-2023,30-07-2023,1123,622.08,Central,Mumbai,Technology,2811.58,FedEx,Traffic,WH-D,Medium,5,Consumer
ORD100060,22-03-2023,2,24-03-2023,3,Same Day,25-03-2023,24-03-2023,428,280.43,West,Delhi,Office Supplies,226.87,FedEx,Unknown,WH-C,Low,1,Consumer
ORD100061,19-02-2023,3,22-02-2023,18,Second Class,25-02-2023,01-03-2023,923,830.55,West,Bangalore,Technology,1106.74,Ecom Express,Traffic,WH-C,High,3,Consumer
ORD100062,26-12-2023,3,29-12-2023,7,Standard Class,03-01-2024,01-01-2024,1976,1416.34,South,Delhi,Office Supplies,2199.94,Delhivery,Unknown,WH-B,Low,2,Consumer
ORD100063,02-01-2023,1,03-01-2023,17,Same Day,04-01-2023,04-01-2023,520,418.41,East,Chennai,Furniture,4404.4,Delhivery,Unknown,WH-C,Medium,2,Home Office
ORD100064,23-02-2023,3,26-02-2023,20,Second Class,01-03-2023,04-03-2023,169,253.08,East,Mumbai,Office Supplies,156.72,DHL,Carrier Delay,WH-B,High,2,Corporate
ORD100065,16-04-2023,1,17-04-2023,7,Second Class,20-04-2023,25-04-2023,1454,1684.68,West,Bangalore,Furniture,2571.23,Delhivery,Traffic,WH-D,Medium,1,Consumer
ORD100066,17-09-2023,2,19-09-2023,8,Second Class,22-09-2023,20-09-2023,1001,1423.64,Central,Bangalore,Office Supplies,3284.65,FedEx,Unknown,WH-A,Medium,6,Consumer
ORD100067,06-11-2023,3,09-11-2023,20,Same Day,10-11-2023,15-11-2023,1840,1721.87,West,Chennai,Furniture,1476.74,Delhivery,Carrier Delay,WH-A,High,4,Corporate
ORD100068,10-07-2023,2,12-07-2023,21,Same Day,13-07-2023,17-07-2023,997,1206.65,Central,Chennai,Furniture,1612.61,Ecom Express,Customer Not Available,WH-D,Medium,2,Corporate
ORD100069,06-08-2023,2,08-08-2023,18,Same Day,09-08-2023,07-08-2023,897,860.84,South,Chennai,Furniture,1972.71,Delhivery,Unknown,WH-B,Medium,5,Corporate
ORD100070,13-02-2023,3,16-02-2023,7,Same Day,17-02-2023,15-02-2023,1020,844.79,South,Bangalore,Technology,1409.24,FedEx,Unknown,WH-A,Low,2,Consumer
ORD100071,11-06-2023,1,12-06-2023,16,First Class,14-06-2023,14-06-2023,1070,1090.52,East,Hyderabad,Furniture,2214.08,Delhivery,Unknown,WH-A,Medium,8,Home Office
ORD100072,21-07-2023,2,23-07-2023,23,Second Class,26-07-2023,26-07-2023,1825,1692.34,Central,Delhi,Office Supplies,832.56,DHL,Unknown,WH-C,Medium,4,Home Office
ORD100073,27-09-2023,2,29-09-2023,10,First Class,01-10-2023,30-09-2023,745,1103,West,Delhi,Furniture,1036.69,Delhivery,Unknown,WH-B,Medium,5,Home Office
ORD100074,17-12-2023,3,20-12-2023,3,Second Class,23-12-2023,27-12-2023,1431,1425.51,West,Chennai,Furniture,233.82,DHL,Unknown,WH-B,Low,8,Home Office
ORD100075,31-10-2023,3,03-11-2023,6,Same Day,04-11-2023,04-11-2023,759,995.13,West,Hyderabad,Office Supplies,2086.01,BlueDart,Unknown,WH-C,Medium,6,Corporate
ORD100076,28-09-2023,3,01-10-2023,22,Same Day,02-10-2023,02-10-2023,1752,2044.27,West,Hyderabad,Furniture,3551.32,Ecom Express,Unknown,WH-D,Medium,1,Home Office
ORD100077,03-08-2023,3,06-08-2023,6,First Class,08-08-2023,06-08-2023,420,411.44,South,Chennai,Office Supplies,2555.45,DHL,Unknown,WH-A,Low,6,Home Office
ORD100078,09-09-2023,3,12-09-2023,13,Standard Class,17-09-2023,16-09-2023,1328,1293.67,Central,Mumbai,Furniture,2676.76,BlueDart,Unknown,WH-C,Low,1,Home Office
ORD100079,09-07-2023,3,12-07-2023,11,Same Day,13-07-2023,15-07-2023,1083,911.77,South,Bangalore,Office Supplies,2277.23,BlueDart,Unknown,WH-D,High,6,Home Office
ORD100080,23-10-2023,1,24-10-2023,5,Standard Class,29-10-2023,29-10-2023,340,206.37,Central,Mumbai,Office Supplies,2944.99,FedEx,Unknown,WH-D,High,7,Corporate
ORD100081,01-08-2023,2,03-08-2023,13,Second Class,06-08-2023,09-08-2023,1929,2433.37,East,Hyderabad,Furniture,1186.9,BlueDart,Unknown,WH-B,Medium,6,Corporate
ORD100082,27-07-2023,1,28-07-2023,16,First Class,30-07-2023,30-07-2023,885,1255.01,Central,Chennai,Furniture,1077.2,Ecom Express,Unknown,WH-D,Low,4,Consumer
ORD100083,25-08-2023,1,26-08-2023,11,Standard Class,31-08-2023,02-09-2023,1458,1046.78,West,Bangalore,Furniture,4712.72,Ecom Express,Inventory Issue,WH-C,High,4,Corporate
ORD100084,04-12-2023,3,07-12-2023,19,Standard Class,12-12-2023,10-12-2023,976,1391.46,South,Delhi,Furniture,2279.53,Ecom Express,Unknown,WH-B,High,2,Home Office
ORD100085,22-02-2023,2,24-02-2023,6,Same Day,25-02-2023,01-03-2023,689,504.56,West,Hyderabad,Furniture,4144.52,Ecom Express,Unknown,WH-B,Low,2,Consumer
ORD100086,07-10-2023,1,08-10-2023,14,Standard Class,13-10-2023,12-10-2023,1817,1871.65,Central,Bangalore,Furniture,4588.32,FedEx,Unknown,WH-A,Medium,7,Consumer
ORD100087,05-08-2023,3,08-08-2023,5,Standard Class,13-08-2023,11-08-2023,1362,1149.01,Central,Bangalore,Technology,3093.67,Delhivery,Unknown,WH-B,Medium,8,Corporate
ORD100088,09-09-2023,3,12-09-2023,10,Second Class,15-09-2023,19-09-2023,745,457.81,East,Mumbai,Furniture,1529.03,DHL,Traffic,WH-D,Low,6,Consumer
ORD100089,07-07-2023,2,09-07-2023,19,First Class,11-07-2023,12-07-2023,1434,792.77,Central,Delhi,Technology,3415.03,FedEx,Customer Not Available,WH-D,Medium,6,Corporate
ORD100090,10-02-2023,1,11-02-2023,4,Same Day,12-02-2023,12-02-2023,34,29.42,Central,Mumbai,Technology,2183.02,FedEx,Unknown,WH-D,Low,7,Consumer
ORD100091,06-06-2023,1,07-06-2023,12,Same Day,08-06-2023,12-06-2023,1563,855.5,West,Mumbai,Technology,4866.69,DHL,Traffic,WH-A,Medium,3,Home Office
ORD100092,15-01-2023,1,16-01-2023,5,Standard Class,21-01-2023,24-01-2023,1545,933.5,Central,Mumbai,Furniture,4065.88,DHL,Customer Not Available,WH-C,High,2,Home Office
ORD100093,28-10-2023,3,31-10-2023,10,Second Class,03-11-2023,07-11-2023,579,371.89,Central,Mumbai,Office Supplies,4083.98,Delhivery,Unknown,WH-A,Low,4,Home Office
ORD100094,06-03-2023,2,08-03-2023,13,Standard Class,13-03-2023,14-03-2023,225,112.93,South,Hyderabad,Office Supplies,2964.01,Delhivery,Traffic,WH-C,Medium,2,Consumer
ORD100095,11-12-2023,2,13-12-2023,11,Standard Class,18-12-2023,18-12-2023,831,542.85,South,Delhi,Office Supplies,91.66,Ecom Express,Unknown,WH-D,Medium,7,Corporate
ORD100096,23-11-2023,1,24-11-2023,11,Same Day,25-11-2023,26-11-2023,598,644.21,East,Mumbai,Furniture,4167.51,Delhivery,Inventory Issue,WH-C,Low,9,Consumer
ORD100097,09-01-2023,3,12-01-2023,10,Standard Class,17-01-2023,19-01-2023,1522,2008.31,East,Hyderabad,Office Supplies,175.59,Delhivery,Traffic,WH-D,Medium,7,Home Office
ORD100098,10-12-2023,1,11-12-2023,11,Standard Class,16-12-2023,16-12-2023,758,525.62,West,Hyderabad,Office Supplies,655.67,DHL,Unknown,WH-D,High,5,Consumer
ORD100099,09-05-2023,2,11-05-2023,10,Second Class,14-05-2023,17-05-2023,1281,744.1,West,Bangalore,Furniture,4201.41,BlueDart,Carrier Delay,WH-D,Medium,3,Home Office
ORD100100,16-05-2023,3,19-05-2023,2,Same Day,20-05-2023,20-05-2023,1592,1957.39,South,Bangalore,Furniture,1133.04,Ecom Express,Unknown,WH-C,High,1,Home Office
ORD100101,04-03-2023,1,05-03-2023,23,First Class,07-03-2023,08-03-2023,1349,685.51,South,Chennai,Technology,4213.57,Ecom Express,Traffic,WH-B,Medium,1,Corporate
ORD100102,19-05-2023,1,20-05-2023,17,Second Class,23-05-2023,28-05-2023,1067,1316.85,South,Hyderabad,Furniture,1219.94,FedEx,Weather,WH-A,High,3,Home Office
ORD100103,22-03-2023,3,25-03-2023,15,Second Class,28-03-2023,27-03-2023,1025,646.9,East,Chennai,Office Supplies,3865.01,Delhivery,Unknown,WH-D,High,4,Corporate
ORD100104,12-06-2023,2,14-06-2023,14,Second Class,17-06-2023,18-06-2023,1493,1087.33,East,Hyderabad,Furniture,2733.77,Delhivery,Carrier Delay,WH-C,Medium,5,Consumer
ORD100105,16-10-2023,3,19-10-2023,7,Same Day,20-10-2023,20-10-2023,1799,1115.51,Central,Mumbai,Furniture,3371.42,DHL,Unknown,WH-C,Medium,9,Corporate
ORD100106,18-09-2023,1,19-09-2023,15,Standard Class,24-09-2023,29-09-2023,1966,1469.27,East,Mumbai,Office Supplies,4198.5,Delhivery,Customer Not Available,WH-A,Low,2,Corporate
ORD100107,19-08-2023,1,20-08-2023,9,First Class,22-08-2023,22-08-2023,1867,2423.69,Central,Chennai,Office Supplies,4920.94,FedEx,Unknown,WH-C,High,4,Home Office
ORD100108,10-02-2023,1,11-02-2023,19,Same Day,12-02-2023,16-02-2023,1439,910.23,West,Mumbai,Furniture,474.17,DHL,Unknown,WH-B,Low,3,Home Office
ORD100109,28-01-2023,1,29-01-2023,21,Standard Class,03-02-2023,08-02-2023,1440,2151.6,East,Mumbai,Furniture,3442.65,Ecom Express,Unknown,WH-A,Medium,8,Corporate
ORD100110,15-05-2023,2,17-05-2023,2,Second Class,20-05-2023,19-05-2023,496,410.24,West,Bangalore,Furniture,4795.69,Delhivery,Unknown,WH-C,Low,1,Home Office
ORD100111,20-07-2023,2,22-07-2023,13,Same Day,23-07-2023,21-07-2023,442,628.51,Central,Mumbai,Office Supplies,1900.29,Delhivery,Unknown,WH-A,High,1,Consumer
ORD100112,24-11-2023,1,25-11-2023,12,Standard Class,30-11-2023,29-11-2023,483,333.29,West,Bangalore,Technology,1702.04,FedEx,Unknown,WH-B,High,9,Consumer
ORD100113,25-09-2023,2,27-09-2023,14,First Class,29-09-2023,27-09-2023,787,541.38,West,Delhi,Furniture,3415.89,FedEx,Unknown,WH-B,Low,1,Home Office
ORD100114,02-02-2023,2,04-02-2023,5,First Class,06-02-2023,09-02-2023,953,1015.26,East,Hyderabad,Furniture,2039.66,DHL,Traffic,WH-C,High,4,Corporate
ORD100115,17-02-2023,2,19-02-2023,7,Standard Class,24-02-2023,24-02-2023,1012,557.21,Central,Bangalore,Furniture,1111.58,Ecom Express,Unknown,WH-A,Low,8,Consumer
ORD100116,03-03-2023,1,04-03-2023,23,Same Day,05-03-2023,09-03-2023,76,98.88,Central,Bangalore,Technology,849.26,FedEx,Unknown,WH-B,High,4,Corporate
ORD100117,04-08-2023,3,07-08-2023,14,Second Class,10-08-2023,15-08-2023,586,550.61,South,Bangalore,Furniture,1003.52,FedEx,Unknown,WH-D,Low,5,Consumer
ORD100118,20-10-2023,3,23-10-2023,23,Standard Class,28-10-2023,30-10-2023,224,268.62,East,Hyderabad,Technology,3536.34,Ecom Express,Unknown,WH-A,Medium,2,Consumer
ORD100119,09-04-2023,3,12-04-2023,14,Second Class,15-04-2023,17-04-2023,1032,696.22,East,Hyderabad,Furniture,4597.54,BlueDart,Traffic,WH-D,High,9,Home Office
ORD100120,21-06-2023,1,22-06-2023,7,First Class,24-06-2023,25-06-2023,1890,2159.06,Central,Hyderabad,Office Supplies,4039.77,DHL,Traffic,WH-D,High,9,Home Office
ORD100121,26-12-2023,2,28-12-2023,23,Standard Class,02-01-2024,01-01-2024,1007,1101.73,East,Mumbai,Technology,2268.6,BlueDart,Unknown,WH-A,High,3,Corporate
ORD100122,02-08-2023,2,04-08-2023,5,First Class,06-08-2023,11-08-2023,1941,2437.24,West,Bangalore,Office Supplies,2666.58,Ecom Express,Weather,WH-C,Low,8,Home Office
ORD100123,04-02-2023,1,05-02-2023,22,Second Class,08-02-2023,07-02-2023,294,234.44,South,Hyderabad,Furniture,3119.86,Delhivery,Unknown,WH-B,High,9,Home Office
ORD100124,15-08-2023,1,16-08-2023,4,Second Class,19-08-2023,24-08-2023,384,550.34,Central,Delhi,Office Supplies,2920.74,DHL,Inventory Issue,WH-C,Medium,3,Home Office
ORD100125,11-04-2023,3,14-04-2023,16,Standard Class,19-04-2023,21-04-2023,1930,2820.31,East,Hyderabad,Technology,4843.94,Ecom Express,Inventory Issue,WH-A,Medium,1,Consumer
ORD100126,11-05-2023,3,14-05-2023,12,Standard Class,19-05-2023,17-05-2023,808,1105.44,East,Chennai,Furniture,4439.13,Ecom Express,Unknown,WH-D,High,2,Corporate
ORD100127,14-09-2023,1,15-09-2023,3,Standard Class,20-09-2023,19-09-2023,1383,1482.62,West,Chennai,Office Supplies,265.52,DHL,Unknown,WH-D,Medium,8,Corporate
ORD100128,05-01-2023,3,08-01-2023,18,First Class,10-01-2023,08-01-2023,747,687.46,East,Bangalore,Technology,4187.04,BlueDart,Unknown,WH-D,High,1,Corporate
ORD100129,06-08-2023,2,08-08-2023,3,Second Class,11-08-2023,09-08-2023,1963,1095.34,East,Bangalore,Technology,614.6,Delhivery,Unknown,WH-C,Low,7,Home Office
ORD100130,12-09-2023,1,13-09-2023,22,Second Class,16-09-2023,14-09-2023,84,121.57,West,Bangalore,Technology,3466.54,BlueDart,Unknown,WH-C,Low,2,Corporate
ORD100131,25-12-2023,1,26-12-2023,2,First Class,28-12-2023,26-12-2023,70,101.62,East,Mumbai,Office Supplies,1463.97,FedEx,Unknown,WH-D,Low,3,Corporate
ORD100132,10-10-2023,2,12-10-2023,6,Standard Class,17-10-2023,21-10-2023,140,72.62,South,Chennai,Technology,3878.25,BlueDart,Carrier Delay,WH-B,High,4,Consumer
ORD100133,26-07-2023,2,28-07-2023,21,Same Day,29-07-2023,30-07-2023,403,345.33,West,Chennai,Furniture,92.6,FedEx,Carrier Delay,WH-A,Low,3,Corporate
ORD100134,15-01-2023,2,17-01-2023,18,Standard Class,22-01-2023,23-01-2023,1731,2388.84,Central,Bangalore,Furniture,1942.25,DHL,Weather,WH-C,Medium,4,Home Office
ORD100135,12-12-2023,3,15-12-2023,2,Same Day,16-12-2023,20-12-2023,351,203.88,South,Chennai,Technology,156.54,FedEx,Unknown,WH-D,High,5,Consumer
ORD100136,11-02-2023,1,12-02-2023,8,Same Day,13-02-2023,15-02-2023,1876,1306.76,East,Chennai,Technology,4769.97,Ecom Express,Weather,WH-D,Medium,6,Consumer
ORD100137,28-06-2023,3,01-07-2023,4,First Class,03-07-2023,08-07-2023,1989,2941.09,West,Mumbai,Furniture,126.06,FedEx,Weather,WH-A,Low,5,Consumer
ORD100138,04-03-2023,2,06-03-2023,17,Second Class,09-03-2023,10-03-2023,63,84.88,West,Delhi,Furniture,818.69,Ecom Express,Customer Not Available,WH-C,High,9,Corporate
ORD100139,18-12-2023,3,21-12-2023,17,Second Class,24-12-2023,29-12-2023,782,1104.23,East,Bangalore,Technology,2719.4,Ecom Express,Unknown,WH-B,Medium,9,Consumer
ORD100140,19-08-2023,2,21-08-2023,13,Second Class,24-08-2023,27-08-2023,523,335.85,Central,Delhi,Furniture,3248.45,BlueDart,Unknown,WH-C,Medium,6,Consumer
ORD100141,29-08-2023,3,01-09-2023,10,Second Class,04-09-2023,08-09-2023,1908,1357.19,South,Delhi,Technology,3658.51,Delhivery,Weather,WH-B,Low,6,Consumer
ORD100142,21-02-2023,3,24-02-2023,15,First Class,26-02-2023,25-02-2023,718,793.69,East,Mumbai,Office Supplies,1272.17,BlueDart,Unknown,WH-C,Low,9,Corporate
ORD100143,06-04-2023,2,08-04-2023,13,Same Day,09-04-2023,12-04-2023,1872,1875.25,Central,Chennai,Technology,1539.93,BlueDart,Weather,WH-C,Medium,7,Consumer
ORD100144,10-08-2023,3,13-08-2023,17,Second Class,16-08-2023,20-08-2023,981,783.33,West,Bangalore,Technology,1237.52,Ecom Express,Weather,WH-B,Low,6,Corporate
